| epoch   4 |  4000/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  5.84 | ppl   342.75
| epoch   4 |  4200/ 9945 batches | lr 0.10 | ms/batch 18.35 | loss  5.94 | ppl   380.94
| epoch   4 |  4400/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  5.95 | ppl   385.18
| epoch   4 |  4600/ 9945 batches | lr 0.10 | ms/batch 18.31 | loss  5.89 | ppl   362.83
| epoch   4 |  4800/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  5.86 | ppl   350.29
| epoch   4 |  5000/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  5.91 | ppl   370.21
| epoch   4 |  5200/ 9945 batches | lr 0.10 | ms/batch 18.31 | loss  5.91 | ppl   367.80
| epoch   4 |  5400/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  5.89 | ppl   360.30
| epoch   4 |  5600/ 9945 batches | lr 0.10 | ms/batch 18.30 | loss  5.80 | ppl   330.46
| epoch   4 |  5800/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  5.85 | ppl   348.89
| epoch   4 |  6000/ 9945 batches | lr 0.10 | ms/batch 18.30 | loss  5.87 | ppl   354.11
| epoch   4 |  6200/ 9945 batches | lr 0.10 | ms/batch 18.31 | loss  5.84 | ppl   343.98
| epoch   4 |  6400/ 9945 batches | lr 0.10 | ms/batch 18.30 | loss  5.92 | ppl   372.92
| epoch   4 |  6600/ 9945 batches | lr 0.10 | ms/batch 18.34 | loss  5.86 | ppl   351.45
| epoch   4 |  6800/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  5.88 | ppl   358.25
| epoch   4 |  7000/ 9945 batches | lr 0.10 | ms/batch 18.31 | loss  5.97 | ppl   389.89
| epoch   4 |  7200/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  5.71 | ppl   303.32
| epoch   4 |  7400/ 9945 batches | lr 0.10 | ms/batch 18.32 | loss  5.86 | ppl   349.12
| epoch   4 |  7600/ 9945 batches | lr 0.10 | ms/batch 18.33 | loss  5.86 | ppl   350.85
| epoch   4 |  7800/ 9945 batches | lr 0.10 | ms/batch 18.31 | loss  5.86 | ppl   352.08
| epoch   4 |  8000/ 9945 batches | lr 0.10 | ms/batch 18.33 | loss  5.85 | ppl   347.12
| epoch   4 |  8200/ 9945 batches | lr 0.10 | ms/batch 18.33 | loss  5.91 | ppl   368.94
| epoch   4 |  8400/ 9945 batches | lr 0.10 | ms/batch 18.31 | loss  5.86 | ppl   349.61
| epoch   4 |  8600/ 9945 batches | lr 0.10 | ms/batch 18.33 | loss  5.84 | ppl   343.90
| epoch   4 |  8800/ 9945 batches | lr 0.10 | ms/batch 18.31 | loss  5.80 | ppl   329.36
| epoch   4 |  9000/ 9945 batches | lr 0.10 | ms/batch 18.31 | loss  5.78 | ppl   324.15
| epoch   4 |  9200/ 9945 batches | lr 0.10 | ms/batch 18.31 | loss  5.89 | ppl   363.18
| epoch   4 |  9400/ 9945 batches | lr 0.10 | ms/batch 18.35 | loss  5.83 | ppl   341.13
