| epoch   3 |  8400/14918 batches | lr 0.10 | ms/batch 17.64 | loss  5.90 | ppl   363.97
| epoch   3 |  8600/14918 batches | lr 0.10 | ms/batch 17.70 | loss  5.83 | ppl   340.94
| epoch   3 |  8800/14918 batches | lr 0.10 | ms/batch 17.64 | loss  5.83 | ppl   341.25
| epoch   3 |  9000/14918 batches | lr 0.10 | ms/batch 17.77 | loss  5.97 | ppl   389.88
| epoch   3 |  9200/14918 batches | lr 0.10 | ms/batch 17.92 | loss  6.05 | ppl   422.68
| epoch   3 |  9400/14918 batches | lr 0.10 | ms/batch 17.69 | loss  6.01 | ppl   405.70
| epoch   3 |  9600/14918 batches | lr 0.10 | ms/batch 17.69 | loss  5.86 | ppl   349.21
| epoch   3 |  9800/14918 batches | lr 0.10 | ms/batch 18.02 | loss  5.91 | ppl   368.50
| epoch   3 | 10000/14918 batches | lr 0.10 | ms/batch 17.67 | loss  6.01 | ppl   408.66
| epoch   3 | 10200/14918 batches | lr 0.10 | ms/batch 18.05 | loss  5.93 | ppl   376.21
| epoch   3 | 10400/14918 batches | lr 0.10 | ms/batch 17.71 | loss  5.88 | ppl   356.45
| epoch   3 | 10600/14918 batches | lr 0.10 | ms/batch 17.98 | loss  5.81 | ppl   332.24
| epoch   3 | 10800/14918 batches | lr 0.10 | ms/batch 17.79 | loss  5.80 | ppl   329.58
| epoch   3 | 11000/14918 batches | lr 0.10 | ms/batch 17.79 | loss  5.86 | ppl   349.18
| epoch   3 | 11200/14918 batches | lr 0.10 | ms/batch 17.67 | loss  5.83 | ppl   338.81
| epoch   3 | 11400/14918 batches | lr 0.10 | ms/batch 17.66 | loss  5.81 | ppl   332.95
| epoch   3 | 11600/14918 batches | lr 0.10 | ms/batch 17.67 | loss  5.82 | ppl   335.52
| epoch   3 | 11800/14918 batches | lr 0.10 | ms/batch 17.66 | loss  5.91 | ppl   369.61
| epoch   3 | 12000/14918 batches | lr 0.10 | ms/batch 17.67 | loss  5.88 | ppl   356.69
| epoch   3 | 12200/14918 batches | lr 0.10 | ms/batch 17.81 | loss  5.92 | ppl   372.20
| epoch   3 | 12400/14918 batches | lr 0.10 | ms/batch 17.88 | loss  5.81 | ppl   333.15
| epoch   3 | 12600/14918 batches | lr 0.10 | ms/batch 17.67 | loss  5.84 | ppl   342.17
| epoch   3 | 12800/14918 batches | lr 0.10 | ms/batch 17.62 | loss  5.89 | ppl   361.49
| epoch   3 | 13000/14918 batches | lr 0.10 | ms/batch 17.61 | loss  5.84 | ppl   345.20
| epoch   3 | 13200/14918 batches | lr 0.10 | ms/batch 17.62 | loss  5.79 | ppl   327.99
| epoch   3 | 13400/14918 batches | lr 0.10 | ms/batch 17.67 | loss  5.79 | ppl   326.00
| epoch   3 | 13600/14918 batches | lr 0.10 | ms/batch 17.81 | loss  5.81 | ppl   333.09
| epoch   3 | 13800/14918 batches | lr 0.10 | ms/batch 17.68 | loss  5.75 | ppl   312.67
| epoch   3 | 14000/14918 batches | lr 0.10 | ms/batch 17.64 | loss  5.77 | ppl   319.73
| epoch   3 | 14200/14918 batches | lr 0.10 | ms/batch 17.72 | loss  5.81 | ppl   333.06
| epoch   3 | 14400/14918 batches | lr 0.10 | ms/batch 17.72 | loss  5.87 | ppl   353.51
| epoch   3 | 14600/14918 batches | lr 0.10 | ms/batch 17.66 | loss  5.80 | ppl   329.56
| epoch   3 | 14800/14918 batches | lr 0.10 | ms/batch 17.69 | loss  5.77 | ppl   319.76
Finished one epoch
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 264.81s | valid loss  6.02 | valid ppl   410.10
-----------------------------------------------------------------------------------------
| epoch   4 |   200/14918 batches | lr 0.10 | ms/batch 17.78 | loss  5.66 | ppl   286.97
| epoch   4 |   400/14918 batches | lr 0.10 | ms/batch 17.68 | loss  5.81 | ppl   334.23
| epoch   4 |   600/14918 batches | lr 0.10 | ms/batch 18.02 | loss  5.72 | ppl   304.92
| epoch   4 |   800/14918 batches | lr 0.10 | ms/batch 17.64 | loss  5.72 | ppl   303.47
| epoch   4 |  1000/14918 batches | lr 0.10 | ms/batch 18.00 | loss  5.82 | ppl   335.69
| epoch   4 |  1200/14918 batches | lr 0.10 | ms/batch 17.66 | loss  5.74 | ppl   310.17
| epoch   4 |  1400/14918 batches | lr 0.10 | ms/batch 17.67 | loss  5.80 | ppl   331.63
| epoch   4 |  1600/14918 batches | lr 0.10 | ms/batch 17.59 | loss  5.81 | ppl   334.80
| epoch   4 |  1800/14918 batches | lr 0.10 | ms/batch 17.70 | loss  5.69 | ppl   296.69
| epoch   4 |  2000/14918 batches | lr 0.10 | ms/batch 18.05 | loss  5.74 | ppl   312.52
| epoch   4 |  2200/14918 batches | lr 0.10 | ms/batch 17.65 | loss  5.78 | ppl   325.37
| epoch   4 |  2400/14918 batches | lr 0.10 | ms/batch 17.14 | loss  5.62 | ppl   277.04
| epoch   4 |  2600/14918 batches | lr 0.10 | ms/batch 17.21 | loss  5.75 | ppl   315.02
| epoch   4 |  2800/14918 batches | lr 0.10 | ms/batch 17.23 | loss  5.69 | ppl   294.85
| epoch   4 |  3000/14918 batches | lr 0.10 | ms/batch 17.19 | loss  5.59 | ppl   268.89
| epoch   4 |  3200/14918 batches | lr 0.10 | ms/batch 17.50 | loss  5.62 | ppl   275.81
| epoch   4 |  3400/14918 batches | lr 0.10 | ms/batch 17.83 | loss  5.83 | ppl   340.45
| epoch   4 |  3600/14918 batches | lr 0.10 | ms/batch 17.23 | loss  5.70 | ppl   299.96
| epoch   4 |  3800/14918 batches | lr 0.10 | ms/batch 17.24 | loss  5.57 | ppl   263.03
| epoch   4 |  4000/14918 batches | lr 0.10 | ms/batch 17.13 | loss  5.68 | ppl   293.13
| epoch   4 |  4200/14918 batches | lr 0.10 | ms/batch 17.11 | loss  5.71 | ppl   303.13
| epoch   4 |  4400/14918 batches | lr 0.10 | ms/batch 17.08 | loss  5.74 | ppl   312.51
| epoch   4 |  4600/14918 batches | lr 0.10 | ms/batch 17.09 | loss  5.69 | ppl   295.71
| epoch   4 |  4800/14918 batches | lr 0.10 | ms/batch 17.06 | loss  5.72 | ppl   305.85
| epoch   4 |  5000/14918 batches | lr 0.10 | ms/batch 17.07 | loss  5.66 | ppl   287.53
| epoch   4 |  5200/14918 batches | lr 0.10 | ms/batch 17.10 | loss  5.73 | ppl   306.93
| epoch   4 |  5400/14918 batches | lr 0.10 | ms/batch 17.13 | loss  5.57 | ppl   263.04
| epoch   4 |  5600/14918 batches | lr 0.10 | ms/batch 17.18 | loss  5.67 | ppl   291.25
| epoch   4 |  5800/14918 batches | lr 0.10 | ms/batch 17.26 | loss  5.65 | ppl   283.78
| epoch   4 |  6000/14918 batches | lr 0.10 | ms/batch 17.55 | loss  5.83 | ppl   340.10
